   1	2   0   1 
   1	2  69  70 
   1	2  27  41 
   3	2  25  38 
   1	2  72  61 
   3	2  18   8 
   1	2  56  66 
   5	2   2  11 
   7	2   2   0 
   3	2  55  58 
   5	2  50  47 
   9	2  13   4 
   5	2  10  20 
   5	2  56  55 
   5	2   7  17 
   7	2  42  39 
   9	2  39  47 
  11	2  46  45 
   7	2  68  67 
   9	2  19   9 
  11	2  17   8 
  11	2  52  71 
  13	2  29  21 
  13	2  71  61 
  11	2  24  37 
  15	2  58  66 
  15	2  18   7 
  17	2  72  52 
  13	2   5  14 
  17	2  10  19 
  17	2  33  36 
  19	2  24  27 
  21	2  15   6 
  23	2   3  12 
  19	2  67  70 
  25	2  13   3 
  19	2  30  31 
  21	2   9  20 
  21	2  67  71 
  23	2  21  31 
  25	2  30  29 
  23	2  69  68 
  23	2  51  49 
  27	2  28  32 
  25	2  69  72 
  29	2  15   5 
  25	2  22  35 
  27	2  23  34 
  29	2  44  48 
  31	2  48  45 
  33	2  38  34 
  35	2  58  67 
  35	2  12   4 
  35	2  35  36 
  35	2  50  42 
  37	6  50  37 
  43	2  14   6 
  45	2  23  25 
  37	2  56  69 
  39	2  46  44 
  43	2  59  57 
  47	2  33  22 
  43	2  41  50 
  45	2  59  51 
  47	2  59  56 
  49	2  26  40 
  49	2  46  59 
  51	6  56  37 
  51	6  63  42 
  57	2  16  60 
  57	2  56  46 
  59	6  63  60 
  59	2  33  56 
  59	2  26  28 
  65	2  32  40 
  61	2  23  33 
  63	2  24  23 
  65	2  26  24 
  65	6  69  59 
  67	2  30  26 
  69	2  10  30 
  71	6  72  51 
  71	2  18  10 
  73	2  15  18 
  75	2  13  15 
  71	6  68  55 
  77	3   2   0  13 
  80	2  13   3 
  82	3  13   3  15 
  77	2  49  57 
  79	2  49  58 
  81	2  48  49 
  83	2  39  48 
  79	6  78  55 
  85	6  79  78 
  85	2  35  39 
  87	2  38  35 
  89	2  41  38 
  91	6  83  79 
  91	2  32  41 
  93	2  21  32 
  91	2  15   5 
  93	3  15   5  18 
  96	2  18   7 
  96	2   9  21 
  98	3  18   7  10 
 101	2  17   9 
 103	2  14  17 
 105	2  12  14 
 105	2  10  19 
 107	3  10  19  30 
 110	2  30  29 
 107	3   1  11  12 
 110	3  12   4  14 
 113	3  14   6  17 
 116	3  17   8   9 
 119	3  30  29  26 
 122	2  26  28 
 124	3  26  28  24 
 127	2  24  27 
 122	3   9  20  21 
 125	3  21  31  32 
 129	3  24  27  23 
 132	2  23  25 
 134	3  23  25  33 
 132	3  32  40  41 
 137	3  41  50  38 
 140	3  38  34  35 
 143	3  35  36  39 
 146	3  39  47  48 
 149	3  48  45  49 
 152	2  33  22 
 152	3  49  57  58 
 155	3  58  66  67 
 158	3  33  22  56 
 161	2  56  60 
 163	3  56  60  46 
 166	3  67  70  71 
 169	2  46  44 
 171	3  46  44  69 
 174	2  69  72 
 176	3  69  72  37 
 179	2  37  68 
 179	2  71  61 
 181	3  37  68  59 
 184	2  59  83 
 186	3  67  70  71 
 189	3  59  83  51 
 192	2  67  70 
 192	2  51  52 
 194	3  58  66  67 
 197	2  58  66 
 199	3  49  57  58 
 202	2  49  57 
 204	3  48  45  49 
 207	2  48  45 
 209	3  39  47  48 
 212	2  39  47 
 214	3  35  36  39 
 217	2  35  36 
 217	3  59  83  51 
 220	3  38  34  35 
 223	2  38  34 
 225	3  41  50  38 
 228	2  41  50 
 230	3  32  40  41 
 233	2  32  40 
 235	3  37  68  59 
 238	3  69  72  37 
 241	3  46  44  69 
 244	3  56  60  46 
 247	3  33  22  56 
 235	3  21  31  32 
 238	2  21  31 
 240	3   9  20  21 
 243	2   9  20 
 245	3  17   8   9 
 250	3  23  25  33 
 248	2  17   8 
 253	3  24  27  23 
 256	3  26  28  24 
 259	3  14   6  17 
 262	3  30  29  26 
 265	2  14   6 
 267	3  12   4  14 
 270	2  12   4 
 272	3   1  11  12 
 275	2   1  11 
 267	3  10  19  30 
 272	3  18   7  10 
 275	3  15   5  18 
 278	2  12  14 
 280	3  13   3  15 
 283	2  14  17 
 285	2  17   9 
 285	3   2   0  13 
 287	2  17   8 
 289	2  12   4 
 291	2  13  15 
 289	2   9  21 
 291	2   9  20 
 293	2  21  32 
 293	2  15  18 
 295	2  18  10 
 297	2  15   5 
 297	2  21  31 
 299	2  13   3 
 299	2  10  30 
 301	2  30  26 
 303	2  18   7 
 305	2  10  19 
 307	2  32  41 
 303	2  26  24 
 309	2  41  38 
 305	2  24  23 
 307	2  23  33 
 311	2  30  29 
 309	2  33  56 
 311	2  38  35 
 313	2  35  39 
 315	2  33  22 
 315	2  56  46 
 317	2  23  25 
 319	2  14   6 
 315	2  39  48 
 317	2  48  49 
 317	2  46  69 
 321	2  26  28 
 319	2  49  58 
 323	2  24  27 
 321	2  58  67 
 323	2  67  71 
 325	2  48  45 
 327	2  56  60 
 329	2  49  57 
 331	2  67  70 
 333	2  58  66 
 331	2  41  50 
 335	2  69  37 
 337	2  69  72 
 339	2  38  34 
 341	2  32  40 
 341	2  46  44 
 341	2  37  59 
 343	2  37  68 
 343	2  71  61 
 345	2  59  51 
 347	2  39  47 
 349	2  51  52 
 349	2  35  36 
 349	2  59  83 
