   1	1   1 
   2	1   1 
   3	1   1 
   1	1   4 
   2	1   4 
   1	1   5 
   1	1   0 
   2	2   5   0 
   4	2   1   5 
   6	1   5 
   6	2   0   1 
   8	1   1 
   8	2   0   5 
  10	1   0 
  10	1   5 
  11	2   1   5 
  13	2   0   1 
  15	2   5   0 
  17	1   5 
  15	1   1 
  16	1   1 
  17	1   0 
  18	1   0 
  18	2   1   5 
  20	2   0   1 
  22	1   1 
  22	2   5   0 
  24	1   0 
  24	2   5   1 
  26	1   5 
  26	1   1 
  27	2   0   1 
  29	2   5   0 
  31	1   0 
  31	2   1   5 
  33	1   1 
  33	1   5 
  34	2   5   1 
  36	2   4   5 
  38	1   5 
  38	2   1   4 
  40	1   4 
  40	2   1   5 
  42	1   1 
  42	1   5 
  43	2   4   5 
  45	2   1   4 
  47	1   4 
  47	2   5   1 
  49	1   1 
  49	2   0   5 
  51	1   0 
